movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
719,Джей и молчаливый Боб наносят ответный удар,7.149,104,41923.0,2001,6.9,123019.0,комедия,США,$22 000 000,53.0,Jay and Silent Bob Strike Back
7190,Джеронимо: Американская легенда,6.941,115,387.0,1993,6.4,6352.0,"драма, вестерн, история",США,$35 000 000,53.0,Geronimo: An American Legend
7192,Беспутная Роза,6.559,112,183.0,1991,6.7,3832.0,драма,США,$7 500 000,100.0,Rambling Rose
7195,Цвета,6.638,120,579.0,1988,6.7,18149.0,"боевик, триллер, драма, мелодрама, криминал",США,$6 000 000,82.0,Colors
719705,Смерть свадебного свидетеля,6.062,90,490.0,2013,6.5,7114.0,"драма, комедия",США,$1 500 000,33.0,Best Man Down
719864,Бог не умер,6.591,95,1100.0,2014,5.0,27301.0,драма,США,$2 000 000,15.0,God's Not Dead
720,Джон Кью,7.81,116,16382.0,2002,7.0,95637.0,"триллер, драма, криминал",США,$36 000 000,23.0,John Q
721,Ничего себе поездочка,7.023,97,10970.0,2001,6.6,51218.0,"триллер, детектив",США,$23 000 000,73.0,Joy Ride
721093,Возмутитель спокойствия,6.498,113,1279.0,2013,6.8,10905.0,"триллер, драма","Нидерланды, Бельгия, Дания",€3 100 000,86.0,Borgman
721153,Багровый пик,6.655,120,52260.0,2015,6.7,63555.0,"ужасы, фэнтези, триллер, драма, мелодрама, детектив","США, Канада",$55 000 000,70.0,Crimson Peak
7212,Галактика ТНХ-1138,6.689,81,2063.0,1971,6.8,37762.0,"фантастика, драма",США,$777 000,88.0,THX 1138
7213,Люди дождя,7.36,101,480.0,1969,6.9,2023.0,драма,США,$750 000,82.0,The Rain People
7214,Детектив Буллитт,7.415,114,1827.0,1968,7.5,44248.0,"боевик, триллер, криминал, детектив",США,$5 500 000,97.0,Bullitt
722,К-19,7.545,138,20675.0,2002,6.6,46939.0,"триллер, драма, военный, история","Великобритания, Германия, США, Канада",$100 000 000,60.0,K-19: The Widowmaker
7222,Эльф,6.265,97,6536.0,2003,6.9,134620.0,"фэнтези, мелодрама, комедия, семейный","США, Германия",$33 000 000,84.0,Elf
